id,name,place_of_birth,date_of_birth,ethnicity,nationality,specialization,gender,height,weight,astrological_sign
317,李嘉欣,澳門/香港,1970-1979,其它,歐洲,娛樂,女,170-180,未知,雙子
318,李敖,黑龍江,1900-1959,漢,中國,文藝/其它,男,170-180,未知,金牛
319,潘曉婷,山東,1980-1989,漢,中國,娛樂/體育,女,s160,50-60,雙魚
320,任賢齊,臺灣,1960-1969,漢,中國,娛樂/文藝,男,170-180,未知,巨蟹
321,王小丫,四川,1960-1969,漢,中國,娛樂,女,160-170,未知,水瓶
322,彭帥,湖南,未知,漢,中國,其它,女,未知,60-70,未知
323,湯燦,湖北,1970-1979,漢,中國,娛樂/文藝,女,160-170,50-60,雙子
324,李玟,香港/美國,1970-1979,漢,美加,娛樂,女,160-170,40-50,摩羯
325,阿桑,臺灣,1970-1979,漢,中國/臺灣,娛樂,女,s160,40-50,雙魚
326,夏達,湖南,1980-1989,未知,中國,文藝,女,s160,未知,白羊
327,張怡寧,北京,1980-1989,未知,中國,未知,女,170-180,50-60,未知
328,柳傳志,江蘇,1900-1959,漢,中國,商業/政治,男,未知,未知,金牛
329,昆淩,臺灣,1990至今,未知,中國,娛樂,女,160-170,40-50,獅子
330,陳水扁,臺灣,1900-1959,漢,未知,未知,男,未知,未知,未知
331,穀開來,未知,1900-1959,漢,中國,其它,女,未知,未知,天蠍
332,張藝興,湖南,1990至今,漢,中國,娛樂,男,170-180,50-60,天秤
333,許藝娜,遼寧,1980-1989,朝鮮,中國,娛樂,女,s160,40-50,白羊
334,卡紮菲,其它,1900-1959,未知,其它,文藝/政治,男,未知,未知,雙子
335,李克勤,香港,1960-1969,漢,中國,娛樂,男,170-180,未知,射手
336,張國立,天津,1900-1959,漢,中國,娛樂,男,170-180,70-80,摩羯
337,張敬軒,廣東/香港,1980-1989,未知,中國,娛樂/文藝,男,170-180,50-60,水瓶
338,牛頓,其它,1900前,未知,歐洲,科學/其它,男,未知,未知,未知
339,陳浩民,香港,1960-1969,漢,中國,娛樂,男,170-180,60-70,天秤
340,鄭爽,遼寧,1990至今,漢,中國,娛樂,女,160-170,40-50,獅子
341,何潤東,臺灣/美國,1970-1979,漢,美加,娛樂,男,180-190,60-70,處女
342,言承旭,臺灣,1970-1979,漢,中國,娛樂,男,170-180,70-80,摩羯
343,崔始源,韓國,1980-1989,未知,韓國,娛樂,男,180-190,50-60,白羊
344,鄧麗欣,香港,1980-1989,漢,中國,娛樂,女,160-170,40-50,天秤
345,張子萱,北京,1980-1989,漢,中國,娛樂,女,170-180,40-50,水瓶
346,葉璿,浙江/香港,1980-1989,漢,中國,娛樂/文藝,女,160-170,40-50,水瓶
347,安倍晉三,日本,1900-1959,其它,日本,商業/政治,男,170-180,未知,未知
348,斯諾登,美國,1980-1989,未知,美加,政治,男,未知,未知,未知
349,吳鎮宇,香港,1960-1969,未知,中國/香港,娛樂/文藝,男,170-180,70-80,射手
350,楊紫,北京,1990至今,漢,中國,娛樂/其它,女,160-170,未知,天蠍
351,江澤民,未知,1900-1959,漢,中國,未知,男,未知,未知,未知
352,葛優,北京,1900-1959,漢,中國,娛樂,男,170-180,未知,白羊
353,朱珠,北京,1980-1989,漢,中國,娛樂,女,160-170,40-50,巨蟹
354,華晨宇,湖北,1990至今,漢,中國,娛樂,男,170-180,未知,水瓶
355,孟茜,山東,未知,漢,中國,娛樂,女,160-170,50-60,處女
356,李孝利,韓國,1970-1979,朝鮮,韓國,娛樂/文藝,女,160-170,未知,金牛
357,鄭秀文,香港,1970-1979,漢,中國,娛樂,女,160-170,40-50,獅子
358,翟淩,山東,1980-1989,漢,中國,娛樂,女,170-180,40-50,獅子
359,馮鞏,天津,1900-1959,漢,未知,娛樂/文藝,男,180-190,未知,射手
360,倪妮,江蘇,1980-1989,漢,中國,娛樂,女,160-170,未知,獅子
361,張雨生,臺灣,1960-1969,漢,中國,娛樂/文藝,男,160-170,50-60,雙子
362,方大同,香港/美國,1980-1989,漢,美加,娛樂/文藝,男,170-180,50-60,巨蟹
363,吳佩慈,臺灣,1970-1979,漢,中國,娛樂/文藝,女,160-170,40-50,天秤
364,李敏鎬,韓國,1980-1989,未知,韓國,娛樂,男,180-190,60-70,巨蟹
365,陳意涵,臺灣,1980-1989,漢,中國,娛樂,女,160-170,40-50,天蠍
366,陳百強,香港,1900-1959,漢,中國/香港,娛樂/文藝,男,170-180,未知,處女
367,馬豔麗,河南,1970-1979,漢,中國,娛樂/商業,女,170-180,60-70,射手
368,潘粵明,北京,1970-1979,漢,中國,娛樂,男,170-180,60-70,金牛
369,林允兒,韓國,1990至今,朝鮮,韓國,娛樂,女,160-170,40-50,雙子
370,蔣欣,新疆,1980-1989,回,中國,娛樂,女,160-170,50-60,金牛
371,釋小龍,河南,1980-1989,漢,中國,娛樂/體育,男,170-180,60-70,摩羯
372,陳數,湖北,1970-1979,漢,中國,娛樂/文藝/政治,女,160-170,40-50,雙魚
373,翁美玲,香港,1900-1959,漢,未知,娛樂,女,s160,40-50,金牛
374,張一山,北京,1990至今,漢,中國,娛樂/其它,男,170-180,50-60,金牛
375,薛凱琪,香港,1980-1989,漢,中國,娛樂,女,160-170,40-50,獅子
376,張娜拉,韓國,1980-1989,未知,韓國,娛樂,女,160-170,40-50,雙魚
377,毛阿敏,上海,1960-1969,漢,中國,娛樂/文藝,女,160-170,50-60,雙魚
378,鄧超,江西,1970-1979,漢,中國,娛樂,男,170-180,60-70,水瓶
379,瞿穎,湖南,1970-1979,漢,中國,娛樂,女,170-180,50-60,巨蟹
380,鞏新亮,甘肅,1980-1989,漢,中國,娛樂,女,160-170,40-50,白羊
381,宗慶後,浙江,1900-1959,漢,中國,其它,男,未知,未知,未知
382,昂山素季,其它,1900-1959,未知,其它,政治,女,未知,未知,未知
383,周海媚,香港,1960-1969,滿,中國,娛樂/文藝,女,160-170,50-60,射手
384,麥當娜,美國,1900-1959,其它,美加,娛樂/商業/文藝,女,160-170,50-60,獅子
385,王麗坤,內蒙古,1980-1989,滿,未知,娛樂,女,160-170,40-50,白羊
386,馮紹峰,上海,1970-1979,漢,中國,娛樂,男,170-180,未知,天秤
387,樂嘉,上海,1970-1979,漢,中國,娛樂/文藝/其它,男,未知,未知,金牛
388,金希澈,韓國,1980-1989,朝鮮,韓國,娛樂/文藝,男,170-180,未知,巨蟹
389,金秀賢,韓國,1980-1989,未知,韓國,娛樂,男,170-180,60-70,水瓶
390,邵逸夫,浙江/上海,1900-1959,漢,中國,娛樂/商業/其它,男,未知,未知,天蠍
391,竇唯,北京,1960-1969,漢,中國,娛樂/文藝,男,170-180,未知,天秤
392,裴秀智,韓國,1990至今,朝鮮,韓國,娛樂,女,160-170,40-50,天秤
393,傅穎,其它,1980-1989,漢,中國,娛樂,女,160-170,未知,天秤
394,陳露,未知,未知,漢,中國,娛樂,女,170-180,未知,雙子
395,汪小菲,其它,1980-1989,滿,中國,商業,男,未知,未知,巨蟹
396,喬振宇,廣西,1970-1979,漢,未知,娛樂/文藝,男,180-190,60-70,天蠍
397,鄭潔,未知,1980-1989,未知,中國,體育,女,160-170,未知,雙子
398,張曼玉,香港,1960-1969,漢,中國,娛樂/文藝,女,160-170,未知,處女
399,南懷瑾,浙江,1900-1959,漢,中國,其它,男,未知,未知,未知
400,鄭嘉穎,香港/美國,1970-1979,未知,美加,娛樂,男,170-180,60-70,獅子
401,韓佳人,韓國,1980-1989,朝鮮,未知,娛樂,女,160-170,40-50,雙魚
402,杜淳,河北,1980-1989,回,中國,娛樂,男,170-180,60-70,雙子
403,金喜善,韓國,1970-1979,朝鮮,韓國,娛樂,女,160-170,未知,雙子
404,姜文,河北,1960-1969,漢,中國,娛樂/文藝,男,180-190,geq90,摩羯
405,茅威濤,浙江,1960-1969,漢,中國,娛樂,女,未知,未知,獅子
406,方靜,北京,1970-1979,漢,中國,娛樂,女,160-170,未知,雙子
407,彭于晏,臺灣,1980-1989,漢,美加,娛樂,男,180-190,60-70,白羊
408,季羨林,山東,1900-1959,漢,中國,文藝/其它,男,未知,未知,未知
409,邱勝翊,臺灣,1980-1989,漢,中國,娛樂,男,170-180,50-60,白羊
410,蔡琳,韓國,1970-1979,朝鮮,未知,娛樂,女,160-170,40-50,白羊
411,秋瓷炫,韓國,1970-1979,朝鮮,韓國,娛樂,女,160-170,40-50,水瓶
412,陳一冰,天津,未知,漢,中國,體育,男,s160,50-60,未知
413,王源,重慶,1990至今,漢,中國,娛樂/其它,男,160-170,40-50,天蠍
414,史玉柱,安徽,1960-1969,漢,中國,商業,男,未知,未知,未知
415,林志炫,臺灣,1960-1969,未知,中國,娛樂/商業,男,170-180,60-70,巨蟹
416,江一燕,浙江,1980-1989,漢,中國,娛樂/文藝,女,160-170,40-50,處女
417,唐駿,江蘇,1960-1969,漢,中國,商業,男,未知,未知,巨蟹
418,何韻詩,香港,1970-1979,漢,中國/香港/美加,娛樂/文藝,女,160-170,40-50,雙子
419,應采兒,臺灣/美國,1980-1989,漢,中國/美加,娛樂,女,160-170,40-50,雙子
420,郎平,北京,1960-1969,漢,中國,體育,女,180-190,70-80,未知
421,梁家輝,香港,1900-1959,漢,中國,娛樂/文藝,男,170-180,60-70,水瓶
422,江映蓉,四川,1980-1989,漢,中國,娛樂,女,160-170,50-60,水瓶
423,洪金寶,香港,1900-1959,漢,未知,娛樂/文藝,男,170-180,geq90,摩羯
424,徐帆,湖北,1960-1969,漢,中國,娛樂,女,160-170,40-50,獅子
425,霍元甲,天津,1900前,漢,中國,體育,男,未知,未知,未知
426,鄧家佳,四川,1980-1989,漢,中國,娛樂,女,160-170,40-50,金牛
427,費玉清,臺灣,1900-1959,漢,中國,娛樂,男,170-180,未知,巨蟹
428,張震嶽,臺灣,1970-1979,其它,中國,娛樂/文藝,男,170-180,60-70,金牛
429,戴佩妮,其它,1970-1979,漢,新馬,娛樂/文藝,女,s160,40-50,金牛
430,李楠,黑龍江,1970-1979,漢,中國,未知,男,geq190,未知,未知
431,蔣勤勤,重慶,1970-1979,漢,中國,娛樂,女,160-170,40-50,處女
432,李光耀,未知,1900-1959,漢,中國,未知,男,未知,未知,未知
433,楊麗萍,雲南,1900-1959,白,中國,娛樂/文藝,女,160-170,40-50,天蠍
434,侯佩岑,臺灣,1970-1979,漢,中國,娛樂,女,160-170,40-50,射手
435,鐘嘉欣,其它,1980-1989,漢,未知,娛樂,女,170-180,50-60,白羊
436,趙忠祥,河北,1900-1959,滿,中國,娛樂/文藝,男,170-180,未知,摩羯
437,耶穌,其它,1900前,其它,未知,未知,男,未知,未知,未知
438,秦嵐,遼寧,未知,漢,中國,娛樂,女,160-170,40-50,巨蟹
439,汪峰,北京,1970-1979,漢,中國,娛樂/文藝,男,170-180,60-70,巨蟹
440,朱孝天,臺灣,1970-1979,未知,中國,娛樂,男,170-180,70-80,摩羯
441,貝多芬,其它,1900前,未知,歐洲,文藝,男,160-170,未知,射手
442,王君安,未知,1970-1979,未知,中國,文藝,女,未知,未知,雙子
443,金鐘國,韓國,1970-1979,未知,韓國,娛樂,男,170-180,70-80,金牛
444,宋承憲,韓國,1970-1979,漢/朝鮮,韓國,娛樂,男,170-180,60-70,天秤
445,田馥甄,臺灣,1980-1989,漢,中國,娛樂,女,s160,40-50,白羊
446,王大治,陝西,1970-1979,漢,中國,娛樂,男,170-180,未知,水瓶
447,周渝民,臺灣,1980-1989,漢,中國,娛樂,男,170-180,60-70,雙子
448,梅婷,江蘇,1970-1979,漢,中國,娛樂,女,160-170,40-50,金牛
449,袁弘,湖北,1980-1989,漢,中國,娛樂,男,180-190,60-70,處女
450,徐懷鈺,臺灣,1970-1979,漢,中國,娛樂,女,s160,未知,雙魚
451,袁泉,湖北,1970-1979,漢,中國,娛樂,女,160-170,40-50,天秤
452,阮經天,臺灣,1980-1989,漢,中國,娛樂,男,180-190,70-80,射手
453,杜甫,河南,1900前,漢,中國,未知,男,未知,未知,未知
454,陳凱歌,北京,1900-1959,漢,中國,娛樂/文藝,男,180-190,未知,獅子
455,吳克群,臺灣,1970-1979,漢,中國,娛樂,男,170-180,60-70,天秤
456,楊紫瓊,其它,1960-1969,未知,新馬,娛樂,女,160-170,40-50,獅子
457,權志龍,韓國,1980-1989,朝鮮,韓國,娛樂/文藝,男,170-180,50-60,獅子
458,高田賢三,未知,1900-1959,未知,歐洲,其它,男,未知,未知,未知
459,俞敏洪,江蘇,1960-1969,漢,中國,商業,男,170-180,未知,天秤
460,陳道明,天津,1900-1959,漢,中國,娛樂,男,170-180,60-70,金牛
461,袁姍姍,湖北,1980-1989,漢,中國,娛樂,女,160-170,40-50,雙魚
462,羅琦,江西,1970-1979,漢,中國,娛樂,女,未知,未知,雙子
463,楊振寧,安徽/美國,1900-1959,漢,中國,科學/其它,男,未知,未知,未知
464,鄭容和,韓國,1980-1989,朝鮮,韓國,娛樂/文藝,男,170-180,60-70,巨蟹
465,藥家鑫,其它,1980-1989,漢,中國,其它,男,未知,未知,天蠍
466,張靜初,福建,1980-1989,漢,中國,娛樂/文藝,女,160-170,40-50,水瓶
467,王林,未知,1900-1959,漢,中國,未知,男,未知,未知,未知
468,潘霜霜,浙江,1980-1989,漢,中國,娛樂,女,160-170,40-50,白羊
469,吳君如,香港,1960-1969,漢,中國/香港,娛樂,女,160-170,40-50,獅子
470,林憶蓮,香港,1960-1969,漢,美加,娛樂,女,s160,40-50,金牛
471,陳若琳,其它,1990至今,漢,中國,體育,女,s160,40-50,未知
472,莫小棋,北京,1980-1989,漢,其它,娛樂,女,160-170,50-60,處女
473,范曾,其它,1900-1959,漢,中國,文藝/其它,男,170-180,未知,巨蟹
474,曾志偉,香港,1900-1959,漢,中國,娛樂,男,s160,未知,白羊
475,徐嬌,浙江/臺灣,1990至今,漢,中國,娛樂/其它,女,160-170,40-50,獅子
476,赫子銘,黑龍江,1980-1989,漢,中國,娛樂,男,180-190,70-80,獅子
477,李宗偉,其它,1980-1989,未知,中國,體育,男,170-180,50-60,天秤
478,張庭,臺灣,1970-1979,漢,中國,娛樂,女,160-170,40-50,雙子
479,劉惜君,廣東,1980-1989,漢,中國,娛樂/文藝,女,160-170,未知,金牛
480,殷桃,重慶,1970-1979,漢,中國,娛樂,女,160-170,40-50,射手
481,艾尚真,重慶,1980-1989,漢,中國,娛樂,女,170-180,50-60,處女
482,成吉思汗,其它,1900前,蒙古,其它,政治/其它,男,180-190,未知,雙子
483,白歆惠,臺灣,1980-1989,漢,中國/臺灣,娛樂,女,170-180,未知,天蠍
484,鄭少秋,香港,1900-1959,漢,中國,娛樂,男,170-180,未知,雙魚
485,林徽因,浙江,1900-1959,漢,中國,文藝,女,未知,未知,雙子
486,蔣雯麗,安徽,1960-1969,漢,中國,娛樂/文藝,女,160-170,50-60,雙子
487,李宗盛,臺灣,1900-1959,漢,中國,娛樂/文藝,男,170-180,70-80,巨蟹
488,陳建州,臺灣,1970-1979,未知,中國,娛樂/商業/文藝/體育,男,180-190,geq90,金牛
489,李治廷,香港,1980-1989,未知,中國/香港,娛樂/文藝,男,170-180,未知,雙魚
490,史達林,其它,1900前,未知,歐洲,政治/其它,男,未知,未知,射手
491,巨石強森,美國,1970-1979,未知,未知,娛樂,男,geq190,未知,未知
492,謝楠,安徽,1980-1989,漢,中國,娛樂,女,160-170,40-50,天蠍
493,余文樂,香港,1980-1989,漢,中國,娛樂,男,170-180,60-70,天蠍
494,杜汶澤,香港,1970-1979,漢,中國/香港,娛樂/文藝,男,160-170,未知,雙子
495,李銀河,北京,1900-1959,漢,中國,科學/其它,女,未知,未知,摩羯
496,周秀娜,廣東/香港,1980-1989,漢,中國,娛樂,女,160-170,40-50,雙子
497,張晉,重慶,1970-1979,漢,中國,娛樂/體育,男,170-180,60-70,金牛
498,樂基兒,澳門,1980-1989,其它,未知,娛樂,女,170-180,未知,獅子
499,趙又廷,臺灣,1980-1989,漢,美加,娛樂,男,170-180,60-70,天秤
500,高行健,江西,1900-1959,未知,歐洲,文藝/其它,男,未知,未知,未知
501,駱家輝,其它,1900-1959,未知,美加,未知,男,未知,未知,未知
502,譚晶,山西,1970-1979,漢,中國,娛樂/文藝,女,160-170,50-60,處女
503,唐一菲,湖北,1980-1989,漢,中國,娛樂,女,160-170,40-50,雙子
504,曾寶儀,香港,1970-1979,漢,中國,娛樂,女,s160,40-50,雙魚
505,鬱可唯,四川,1980-1989,漢,中國,娛樂,女,160-170,40-50,天秤
506,陳法拉,四川/美國,1980-1989,漢,美加,娛樂,女,160-170,40-50,雙魚
507,李玉剛,吉林,1970-1979,漢,中國,娛樂,男,170-180,50-60,獅子
508,張三豐,遼寧,1900前,漢,中國,體育,男,未知,未知,未知
509,甘婷婷,安徽,1980-1989,漢,中國,娛樂,女,160-170,40-50,水瓶
510,費翔,臺灣/美國,1960-1969,未知,美加,娛樂,男,geq190,geq90,摩羯
511,薩頂頂,河南,1980-1989,漢,中國,娛樂/文藝,女,160-170,40-50,摩羯
512,滿文軍,北京,1960-1969,未知,中國,娛樂,男,170-180,70-80,金牛
513,謝杏芳,廣東,1980-1989,漢,中國,體育,女,170-180,50-60,未知
514,鄧文迪,山東,1960-1969,漢,美加,商業,女,170-180,未知,射手
515,楊元慶,安徽,1960-1969,漢,中國,未知,男,180-190,未知,未知
516,張芸京,臺灣,1980-1989,漢,中國,娛樂,女,160-170,40-50,處女
517,李念,湖北,1980-1989,漢,中國,娛樂,女,160-170,40-50,雙子
518,趙志剛,未知,1960-1969,未知,中國,文藝,男,未知,未知,未知
519,楊怡,香港,1970-1979,漢,中國/香港,娛樂,女,160-170,未知,處女
520,鄭元暢,臺灣,1980-1989,漢,中國,娛樂,男,180-190,70-80,雙子
521,陳慧嫻,香港,1960-1969,漢,中國,娛樂,女,s160,40-50,獅子
522,吳庚霖,臺灣,1980-1989,漢,中國,娛樂,男,170-180,50-60,天蠍
523,小倉優子,日本,1980-1989,其它,日本,娛樂,女,160-170,40-50,天蠍
524,張默,其它,1980-1989,未知,中國,娛樂,男,180-190,未知,獅子
525,樸有天,韓國,1980-1989,未知,韓國,娛樂/文藝,男,170-180,60-70,雙子
526,郭躍,遼寧,未知,漢,中國,未知,女,160-170,50-60,未知
527,安志傑,美國,1970-1979,漢,美加,娛樂,男,170-180,70-80,金牛
528,梁思成,日本,1900-1959,漢,中國,文藝/其它,男,未知,未知,金牛
529,劉強東,江蘇,1970-1979,未知,中國,商業,男,未知,未知,未知
530,樊少皇,香港,1970-1979,漢,中國,娛樂,男,170-180,未知,雙子
531,歐陽修,四川,1900前,漢,中國,文藝,男,未知,未知,未知
532,藍潔瑛,香港,1960-1969,漢,中國,娛樂,女,160-170,40-50,金牛
533,周小川,未知,1900-1959,漢,中國,未知,男,未知,未知,水瓶
534,釋永信,安徽,1960-1969,漢,中國,其它,男,未知,未知,未知
535,莫少聰,香港,1960-1969,未知,中國/香港,娛樂,男,170-180,未知,射手
536,呂麗萍,北京,1960-1969,漢,中國,娛樂/文藝/其它,女,未知,未知,白羊
537,李勝基,韓國,1980-1989,朝鮮,韓國,娛樂,男,180-190,60-70,摩羯
538,周立波,上海,1960-1969,漢,中國,娛樂/文藝,男,170-180,70-80,雙子
539,焦恩俊,臺灣,1960-1969,漢,中國,娛樂,男,170-180,未知,天蠍
540,畢福劍,遼寧,1900-1959,漢,中國,娛樂/文藝,男,170-180,70-80,摩羯
541,蔡健雅,其它,1970-1979,漢,新馬,娛樂/文藝,女,s160,未知,水瓶
542,矢野浩二,日本,1970-1979,其它,日本,娛樂,男,170-180,60-70,水瓶
543,李雪主,未知,1980-1989,朝鮮,朝鮮,娛樂,女,160-170,未知,未知
544,吳敏霞,上海,1980-1989,漢,中國,體育,女,160-170,50-60,未知
545,賈青,陝西,1980-1989,漢,中國,娛樂,女,160-170,40-50,天蠍
546,孫驍驍,重慶,1980-1989,漢,中國,娛樂,女,160-170,40-50,金牛
547,劉亦菲,湖北/美國,1980-1989,漢,中國/美加,娛樂,女,160-170,50-60,處女
548,李菲兒,遼寧,1980-1989,漢,中國,娛樂,女,160-170,40-50,天秤
549,方力申,香港,1980-1989,漢,中國,娛樂/體育,男,170-180,未知,雙魚
550,裴澀琪,韓國,1980-1989,未知,韓國,娛樂,女,160-170,40-50,天秤
551,黃曉明,山東,1970-1979,漢,中國,娛樂/商業,男,170-180,60-70,天蠍
552,李清照,其它,1900前,漢,中國,文藝,女,未知,未知,未知
553,後弦,廣西,1970-1979,漢,中國,娛樂/文藝,男,170-180,50-60,射手
554,宋慶齡,上海,1900前,未知,中國,娛樂/政治,女,未知,未知,水瓶
555,張大千,四川,未知,漢,中國,未知,男,未知,未知,未知
556,吳建豪,美國,1970-1979,漢,美加,娛樂/商業,男,170-180,70-80,獅子
557,吳鳳花,未知,1970-1979,漢,中國,娛樂,女,未知,未知,未知
558,加藤鷹,未知,1960-1969,未知,日本,娛樂,男,170-180,未知,金牛
559,車曉,北京,1980-1989,漢,中國,娛樂,女,160-170,未知,雙子
560,北川景子,日本,1980-1989,其它,日本,娛樂,女,s160,40-50,獅子
561,何晟銘,湖北,1970-1979,漢,中國,娛樂,男,170-180,60-70,巨蟹
562,李心潔,其它,1970-1979,漢,未知,娛樂,女,160-170,40-50,水瓶
563,賴昌星,福建,1900-1959,漢,中國,未知,男,160-170,未知,未知
564,吳卓羲,香港,1970-1979,漢,中國/香港,娛樂,男,170-180,60-70,處女
565,陳志朋,臺灣,1970-1979,漢,中國,娛樂,男,170-180,60-70,金牛
566,李可染,江蘇,1900-1959,漢,中國,文藝,男,未知,未知,未知
567,宋仲基,韓國,1980-1989,朝鮮,韓國,娛樂,男,170-180,60-70,處女
568,烏蘭圖雅,內蒙古,未知,蒙古,中國,娛樂,女,160-170,40-50,處女
569,李詠,新疆,1960-1969,漢,中國,娛樂,男,170-180,未知,金牛
570,金城武,臺灣/日本,1970-1979,未知,日本,娛樂,男,170-180,60-70,天秤
571,何超儀,香港,1970-1979,漢,中國/香港,娛樂,女,s160,40-50,摩羯
572,吳映潔,臺灣,1980-1989,漢,中國,娛樂,女,160-170,40-50,獅子
573,孟非,重慶,1970-1979,漢,中國,娛樂,男,170-180,未知,天秤
574,淩瀟肅,陝西,1980-1989,滿,中國,娛樂,男,180-190,70-80,雙子
575,陳學冬,浙江,1990至今,漢,中國,娛樂,男,170-180,未知,巨蟹
576,白居易,河南,1900前,未知,中國,文藝/政治,男,未知,未知,未知
577,李玲玉,江蘇,1960-1969,漢,中國,娛樂/文藝,女,160-170,40-50,白羊
578,黃立行,臺灣/美國,1970-1979,漢,中國/臺灣,娛樂/文藝,男,170-180,60-70,處女
579,潘石屹,甘肅,1960-1969,漢,中國,商業,男,160-170,未知,天蠍
580,郭沫若,四川,1900前,漢,中國,文藝/政治/其它,男,160-170,未知,天蠍
581,張懸,臺灣,1980-1989,未知,中國/臺灣,娛樂,女,160-170,40-50,雙子
582,張嘉倪,四川,1980-1989,漢,中國,娛樂,女,160-170,40-50,巨蟹
583,梁文沖,未知,1970-1979,漢,中國,其它,男,170-180,未知,獅子
584,劉芳菲,內蒙古,1970-1979,漢,中國,娛樂,女,170-180,未知,天秤
585,楊思琦,香港,1970-1979,漢,中國,娛樂,女,160-170,40-50,獅子
586,李彩樺,香港,1980-1989,漢,中國,娛樂,女,160-170,50-60,天蠍
587,李玖哲,韓國,1980-1989,未知,美加,娛樂/文藝,男,170-180,未知,射手
588,宋祖德,未知,1960-1969,漢,中國,娛樂/商業/政治,男,未知,未知,處女
589,鄭鈞,陝西,1960-1969,漢,中國,娛樂/文藝,男,170-180,未知,天蠍
590,張棟樑,其它,1980-1989,未知,新馬,娛樂,男,170-180,50-60,射手
591,蘇永康,香港,1960-1969,漢,中國,娛樂,男,170-180,60-70,天秤
592,伍佰,臺灣,1960-1969,未知,未知,娛樂/文藝,男,170-180,60-70,摩羯
593,許志安,香港,1960-1969,漢,中國,娛樂,男,170-180,60-70,獅子
594,王嶽倫,其它,1970-1979,漢,中國,娛樂/文藝,男,170-180,未知,天秤
595,李虎,四川,1980-1989,漢,中國,文藝,男,未知,未知,未知
596,楊采妮,臺灣,1970-1979,漢,中國,娛樂/文藝,女,160-170,40-50,雙子
597,安雅,臺灣,1970-1979,未知,中國/臺灣,娛樂,女,160-170,40-50,水瓶
598,桑蘭,浙江,1980-1989,未知,中國,體育,女,未知,未知,雙子
599,林毅夫,臺灣,1900-1959,漢,中國,科學/商業,男,未知,未知,未知
600,呂布,內蒙古,1900前,漢,中國,其它,男,未知,未知,未知
601,楊樂樂,重慶,1970-1979,漢,中國,娛樂/文藝/其它,女,160-170,40-50,巨蟹
602,戴嬌倩,上海,1980-1989,漢,中國,娛樂,女,160-170,40-50,雙子
603,朱芳雨,其它,1980-1989,漢,中國,未知,男,geq190,未知,未知
604,金世佳,上海,1980-1989,漢,未知,娛樂,男,180-190,70-80,天蠍
605,安心亞,臺灣,1980-1989,漢,中國/臺灣,娛樂,女,170-180,50-60,射手
606,金妍兒,韓國,1990至今,朝鮮,韓國,體育,女,160-170,未知,處女
607,迪克牛仔,其它,1960-1969,高山,中國/臺灣,娛樂,男,170-180,70-80,未知
608,裴勇俊,韓國,1970-1979,未知,未知,娛樂/商業,男,170-180,未知,處女
609,李曼,遼寧,1980-1989,未知,中國,娛樂,女,160-170,40-50,雙子
610,杜麗,山東,1980-1989,漢,中國,體育,女,160-170,50-60,雙魚
611,愛戴,四川,1970-1979,漢,中國,娛樂,女,160-170,40-50,獅子
612,許茹芸,臺灣,1970-1979,漢,中國,娛樂/文藝,女,s160,40-50,處女
613,張嘉譯,陝西,1970-1979,漢,中國,娛樂,男,170-180,70-80,白羊
614,張凱麗,吉林,1960-1969,漢,中國,娛樂,女,160-170,50-60,天秤
615,潘基文,韓國,1900-1959,朝鮮,韓國,政治,男,未知,未知,未知
616,河智苑,韓國,1970-1979,未知,韓國,未知,女,160-170,40-50,巨蟹
617,張鐵林,河北,1900-1959,漢,中國/歐洲,娛樂/文藝,男,170-180,70-80,雙子
618,賈玲,湖北,1980-1989,漢,中國,娛樂/文藝,女,160-170,未知,金牛
619,楊宗緯,臺灣,1970-1979,漢,中國,娛樂,男,180-190,60-70,白羊
620,芮成鋼,安徽,1970-1979,漢,中國,娛樂/其它,男,未知,未知,天秤
621,許冠傑,廣東/香港,1900-1959,未知,中國,娛樂/文藝,男,170-180,未知,處女
622,李雪健,山東,1900-1959,漢,中國,未知,男,170-180,60-70,未知
623,李麗,其它,1970-1979,漢,中國,文藝/其它,女,s160,未知,射手
624,樸海鎮,韓國,1980-1989,朝鮮,韓國,娛樂/文藝,男,180-190,70-80,金牛
625,山下智久,日本,1980-1989,其它,日本,娛樂,男,170-180,50-60,白羊
626,諶龍,湖北,1980-1989,漢,中國,體育,男,180-190,70-80,未知
627,周鴻禕,湖北,1970-1979,漢,中國,商業,男,未知,未知,未知
628,茅於軾,其它,1900-1959,漢,中國,科學,男,未知,未知,未知
629,李小萌,天津,1980-1989,漢,中國,娛樂,女,未知,未知,處女
630,霍啟剛,香港,1970-1979,漢,中國,商業/政治,男,未知,未知,未知
631,呂良偉,香港,1900-1959,漢,中國,娛樂,男,170-180,70-80,摩羯
632,周傳雄,臺灣,1960-1969,漢,中國,娛樂,男,170-180,60-70,雙子
633,鐘楚紅,香港,1960-1969,漢,中國/香港,娛樂,女,160-170,40-50,水瓶
634,韓彩英,韓國,1980-1989,未知,韓國,娛樂,女,170-180,40-50,處女
635,陳?,四川,1900-1959,漢,中國,未知,女,s160,未知,未知
636,羅嘉良,香港,1960-1969,漢,中國,娛樂,男,170-180,70-80,射手
637,羅京,北京,1960-1969,漢,中國,娛樂/其它,男,170-180,未知,雙子
638,田震,北京,1960-1969,漢,中國,娛樂,女,160-170,未知,金牛
639,宋美齡,上海,1900前,漢,中國,政治,女,未知,未知,未知
